,Symbol,Close,sma,ema
0,CHEMBOND,256.1,256.24750000000006,251.60676246164044
0,CHEMPLASTS,461.7,428.965,438.3341433972299
0,CHENNPETRO,221.3,211.93249999999998,215.65876771995113
0,CINELINE,112.5,111.97999999999999,111.6466834288994
0,CINEVISTA,12.95,12.124999999999998,12.454275312440739
0,CORALFINAC,35.35,34.730000000000004,35.019342837069146
0,COROMANDEL,942.95,928.125,940.6192981184904
0,COUNCODOS,5.15,4.7875,4.997085428550655
0,CRAFTSMAN,3273.75,3204.5975,3241.332938972609
0,CREATIVE,601.5,545.4425,549.7842597634731
0,CREATIVEYE,5.0,4.772500000000001,4.846349168452917
0,CREST,188.55,177.34750000000003,180.52528080117906
0,CROWN,40.1,38.635000000000005,39.836222029884595
0,CSBBANK,254.1,229.80750000000003,236.70103406528753
0,CUBEXTUB,41.25,37.03249999999999,38.84932193122395
0,CYIENT,847.85,827.1625,821.2146029467442
0,DALBHARAT,1849.55,1823.9075,1821.9350454900546
0,DALMIASUG,367.45,353.88,350.56605555493485
0,DBCORP,119.85,117.10249999999999,118.76022747773148
0,DBOL,206.1,193.67,192.45231045251208
0,DCBBANK,131.05,129.92499999999998,129.81384080692283
0,DCI,166.5,157.25714285714284,130.2597847447477
0,DCM,90.1,87.645,88.8941973119258
0,DCMNVL,163.2,162.42499999999998,162.5199303719544
0,DCMSRIND,76.25,72.57250000000002,73.62649853057106
0,DEEPAKFERT,820.65,803.7125,819.4137667859178
0,DEEPINDS,269.9,258.3275,262.49604127918104
0,DELHIVERY,363.75,344.9575,355.60558277727955
0,DELTAMAGNT,79.3,75.365,76.95476367610442
0,DEN,38.55,35.875,35.966026039351064
0,DFMFOODS,423.95,394.935,401.6280368510476
0,DHAMPURSUG,234.3,225.475,223.39596752561332
0,DHANBANK,22.75,18.372499999999995,19.153966649265485
0,DICIND,390.85,387.3075,390.2544838295475
0,DIGISPICE,26.1,24.6675,25.513768048294686
0,DODLA,504.3,493.7599999999999,496.6278934930078
0,DONEAR,82.75,73.39250000000001,75.38866562481707
0,DPSCLTD,14.15,13.5625,13.720692998691923
0,DREAMFOLKS,383.5,375.9525,380.6257831530706
0,DSSL,365.35,344.88500000000005,346.96628605550336
0,DTIL,238.35,230.17500000000004,230.56194550979032
0,DWARKESH,102.05,97.125,96.9452721003628
0,DYCL,197.1,169.565,175.04940132461454
0,DYNAMATECH,2601.75,2619.245,2589.212259336456
0,EDELWEISS,68.0,66.68499999999999,66.43395963243766
0,EIFFL,161.45,156.42000000000002,158.9895034186667
0,ELECTHERM,73.3,72.3175,72.97667011819347
0,EMAMIREAL,79.85,72.7875,74.2152983419993
0,ENGINERSIN,81.6,80.6075,79.58103042649066
0,EPL,191.05,163.22000000000003,165.17390837377894
0,EQUITAS,125.6,118.18500000000002,118.94088897715554
0,EQUITASBNK,57.1,56.2875,56.5872596813026
0,ESABINDIA,4156.75,3992.3649999999993,3984.209749836528
0,ESSARSHPNG,9.8,9.697500000000002,9.688055025510305
0,ETHOSLTD,1023.4,962.095,986.3839813555437
0,EUROTEXIND,11.8,10.977500000000001,10.972765635721343
0,EVEREADY,358.25,358.195,355.574082131674
0,EXCEL,0.55,0.45,0.49746497474297335
0,EXIDEIND,189.55,188.41000000000003,187.39809978990218
0,FACT,268.55,162.985,172.12367423720463
0,FEDERALBNK,136.05,134.1225,134.8296619747825
0,FIBERWEB,36.8,36.459999999999994,36.63630089410574
0,FIEMIND,1868.05,1913.3725000000002,1862.3146892720783
0,FINCABLES,578.15,563.4375000000001,558.9374890520342
0,FINOPB,245.15,236.19249999999997,233.25464876569438
0,FINPIPE,182.5,166.56749999999997,167.7062519010758
0,FLEXITUFF,31.8,34.07857142857143,30.525868031794058
0,FOCUS,296.7,291.95250000000004,288.99959877636036
0,FOODSIN,136.15,123.83,124.42296265642996
0,FSC,29.4,29.405,27.74410150015938
0,FUSION,391.25,374.3775,377.44829343703685
0,GABRIEL,189.15,185.5425,182.3341766026913
0,GAEL,248.7,241.09500000000003,246.4076946156106
0,GAIL,96.75,93.2175,93.29855823129996
0,GAL,3.5,2.9675,3.0831741564928574
0,GANDHITUBE,584.95,589.4875,580.1637886205806
0,GANECOS,938.8,912.4324999999999,905.1556308435474
0,GANGESSECU,129.4,114.32000000000001,116.65630102263164
0,GENUSPAPER,17.15,16.755,16.91755053595144
0,GEOJITFSL,48.05,47.442499999999995,47.56980395914569
0,GESHIP,699.85,677.9375,671.3696106276652
0,GICHSGFIN,189.15,169.7175,170.0774533862749
0,GICRE,166.65,147.96499999999997,149.12737058308966
0,GILLANDERS,79.2,76.16000000000001,75.37902747424691
0,GLAXO,1344.4,1328.7250000000001,1336.2442120720802
0,GLOBALVECT,56.9,52.7275,53.280203246819006
0,GLOBUSSPR,901.05,858.335,870.6751051453109
0,GMBREW,615.35,602.7700000000001,606.8304553892772
0,GMRP&UI,24.55,23.4925,23.822576051635348
0,GOCLCORP,344.5,348.12,339.70285415778284
0,GODFRYPHLP,1893.4,1845.9774999999997,1844.2758548665497
0,GODHA,3.1,2.9375000000000004,2.9776506715036795
0,GODREJCP,896.8,878.1049999999999,879.6268920262579
0,GODREJIND,463.15,453.20250000000004,456.8529866002873
0,GOKEX,379.75,377.85749999999996,375.5167266401552
0,GOKUL,135.9,123.43999999999998,126.7201647610257
0,GOKULAGRO,135.9,123.43999999999998,126.7201647610257
0,GOODLUCK,496.95,486.21500000000003,485.9470914443253
0,GOODYEAR,1132.5,1110.4550000000002,1109.662583782212
0,GOYALALUM,171.8,160.70250000000001,163.02742222455106
0,GPIL,356.05,329.56,330.97680370789215
0,GPPL,97.0,91.5975,91.89767325538736
0,GRAPHITE,392.65,390.07,389.59436827928073
